"email,firstName,lastName,type,isbn,title,description,issueDate"
"jan@scope.com,Jan,Novak,B,278-1-56619-909-4,Sketching the Future,""Key principles to make your, project a, success"","
"jan@scope.com,Jan,Novak,M,778-1-56619-909-4,Berlin in Pictures,,5/4/2021"
"jan@scope.com,Jan,Novak,M,878-1-56619-909-4,Java Magazine,,4/2/2021"
"rory@scope.com,Rory,Dorestad,B,278-1-56619-909-4,Sketching the Future,Key principles to make your project a success,"
"rory@scope.com,Rory,Dorestad,M,578-1-56619-909-4,Dark Ages of Viking Raids,,4/14/2021"
"rory@scope.com,Rory,Dorestad,M,878-1-56619-909-4,Java Magazine,,4/2/2021"
"maha@scope.com,Maha,Malika,B,278-1-56619-909-4,Sketching the Future,Key principles to make your project a success,"
"maha@scope.com,Maha,Malika,B,378-1-56619-909-4,Ancient Egypt,Discover the mysterious history of ancient Egypt.,"
"maha@scope.com,Maha,Malika,M,778-1-56619-909-4,Berlin in Pictures,,5/4/2021"
"maha@scope.com,Maha,Malika,M,878-1-56619-909-4,Java Magazine,,4/2/2021"
"marcus@scope.com,Marcus,Keiser,B,278-1-56619-909-4,Sketching the Future,Key principles to make your project a success,"
"marcus@scope.com,Marcus,Keiser,M,678-1-56619-909-4,History Magazine,,4/8/2015"
"marcus@scope.com,Marcus,Keiser,M,878-1-56619-909-4,Java Magazine,,4/2/2021"
"bereshad@scope.com,Bereshad,Schmied,B,278-1-56619-909-4,Sketching the Future,Key principles to make your project a success,"
"bereshad@scope.com,Bereshad,Schmied,B,478-1-56619-909-4,100+1 Healthy Recipes,""recipes for mains, sides, appetizers and snacks"","
"perica@scope.com,Perica,Mudar,B,278-1-56619-909-4,Sketching the Future,Key principles to make your project a success,"
"perica@scope.com,Perica,Mudar,B,478-1-56619-909-4,100+1 Healthy Recipes,""recipes for mains, sides, appetizers and snacks"","
"perica@scope.com,Perica,Mudar,M,678-1-56619-909-4,""History Magazine"",,4/8/2015"
",,,B,078-1-56619-909-4,The Lost Book,The Book With No Author,"
